Note,File_Name,Presence_of_Vibrato,Type,Percentage_of_Derivative_Peaks
G3,Neumman-03 render 001.wav,no vibrato,note,0.752908966461
G#3,Neumman-03 render 002.wav,no vibrato,note,1.16648992577
A3,Neumman-03 render 003.wav,no vibrato,note,0.993676603433
A#3,Neumman-03 render 004.wav,no vibrato,note,1.23866015352
B3,Neumman-03 render 005.wav,no vibrato,note,1.12279704377
C4,Neumman-03 render 006.wav,no vibrato,note,1.24027237354
C#4,Neumman-03 render 007.wav,no vibrato,note,1.55429531611
D4,Neumman-03 render 008.wav,no vibrato,note,1.78905206943
D#4,Neumman-03 render 009.wav,no vibrato,note,1.73369221026
E4,Neumman-04 render 001.wav,no vibrato,note,1.64737626926
F4,Neumman-04 render 002.wav,no vibrato,note,1.55793573515
F#4,Neumman-04 render 003.wav,no vibrato,note,1.51162095955
G4,Neumman-04 render 004.wav,no vibrato,note,1.39779005525
G#4,Neumman-04 render 005.wav,no vibrato,note,1.3839584298
A4,Neumman-04 render 006.wav,no vibrato,note,1.37927720108
A#4,Neumman-04 render 007.wav,no vibrato,note,1.42921550947
B4,Neumman-04 render 008.wav,no vibrato,note,1.40442243661
C5,Neumman-04 render 009.wav,no vibrato,note,1.53635227227
C#5,Neumman-05 render 001.wav,no vibrato,note,1.47570440035
D5,Neumman-05 render 002.wav,no vibrato,note,1.4423775614
D#5,Neumman-05 render 003.wav,no vibrato,note,1.42074987872
E5,Neumman-05 render 004.wav,no vibrato,note,1.40015226242
F5,Neumman-05 render 005.wav,no vibrato,note,1.38567397026
F#5,Neumman-05 render 006.wav,no vibrato,note,1.35981990752
G5,Neumman-05 render 007.wav,no vibrato,note,1.3406548471
G#5,Neumman-05 render 008.wav,no vibrato,note,1.31542042969
A5,Neumman-06 render 001.wav,no vibrato,note,1.29901827846
A#5,Neumman-06 render 002.wav,no vibrato,note,1.26127543528
G3,Neumman-07 render 001.wav,vibrato at a standard rate,note,1.28448254065
G#3,Neumman-07 render 002.wav,vibrato at a standard rate,note,1.41611132889
A3,Neumman-07 render 003.wav,vibrato at a standard rate,note,1.4710775227
A#3,Neumman-07 render 004.wav,vibrato at a standard rate,note,1.60234241712
B3,Neumman-07 render 005.wav,vibrato at a standard rate,note,1.83852379991
C4,Neumman-07 render 006.wav,vibrato at a standard rate,note,2.03957116709
C#4,Neumman-07 render 007.wav,vibrato at a standard rate,note,2.27489760839
D4,Neumman-07 render 008.wav,vibrato at a standard rate,note,2.39619913241
D#4,Neumman-07 render 009.wav,vibrato at a standard rate,note,2.57555636042
E4,Neumman-07 render 010.wav,vibrato at a standard rate,note,2.68505079826
F4,Neumman-07 render 011.wav,vibrato at a standard rate,note,2.87977650638
F#4,Neumman-07 render 012.wav,vibrato at a standard rate,note,3.07654993563
G4,Neumman-07 render 013.wav,vibrato at a standard rate,note,3.14435705073
G#4,Neumman-07 render 014.wav,vibrato at a standard rate,note,3.27452790004
A4,Neumman-07 render 015.wav,vibrato at a standard rate,note,3.37117601179
A#4,Neumman-07 render 016.wav,vibrato at a standard rate,note,3.43609341826
B4,Neumman-07 render 017.wav,vibrato at a standard rate,note,3.55835164104
C5,Neumman-07 render 018.wav,vibrato at a standard rate,note,3.73607736338
C#5,Neumman-07 render 019.wav,vibrato at a standard rate,note,3.93724712543
D5,Neumman-07 render 020.wav,vibrato at a standard rate,note,4.04834876157
D#5,Neumman-07 render 021.wav,vibrato at a standard rate,note,4.13723201671
E5,Neumman-07 render 022.wav,vibrato at a standard rate,note,4.22654141347
F5,Neumman-07 render 023.wav,vibrato at a standard rate,note,4.25081119524
F#5,Neumman-07 render 024.wav,vibrato at a standard rate,note,4.33749690283
G5,Neumman-07 render 025.wav,vibrato at a standard rate,note,4.4492799267
G#5,Neumman-07 render 026.wav,vibrato at a standard rate,note,4.5488462459
A5,Neumman-07 render 027.wav,vibrato at a standard rate,note,4.69277608635
A#5,Neumman-07 render 028.wav,vibrato at a standard rate,note,4.78003154059
B5,Neumman-07 render 029.wav,vibrato at a standard rate,note,4.90239248496
G3,Neumman-08 render 001.wav,slow vibrato,note,4.84074281036
G#3,Neumman-08 render 002.wav,slow vibrato,note,4.78896824692
A3,Neumman-08 render 003.wav,slow vibrato,note,4.70704818531
A#3,Neumman-08 render 004.wav,slow vibrato,note,4.70264637456
B3,Neumman-08 render 005.wav,slow vibrato,note,4.6979073173
C4,Neumman-08 render 006.wav,slow vibrato,note,4.74844218786
C#4,Neumman-08 render 007.wav,slow vibrato,note,4.71179466424
D4,Neumman-08 render 008.wav,slow vibrato,note,4.72151634159
D#4,Neumman-08 render 009.wav,slow vibrato,note,4.68103893866
E4,Neumman-08 render 010.wav,slow vibrato,note,4.6755493665
F4,Neumman-08 render 011.wav,slow vibrato,note,4.65568011572
F#4,Neumman-10 render 001.wav,slow vibrato,note,4.63215535162
G4,Neumman-10 render 002.wav,slow vibrato,note,4.66734943473
G#4,Neumman-10 render 003.wav,slow vibrato,note,4.67192062422
A4,Neumman-10 render 004.wav,slow vibrato,note,4.67803175577
A#4,Neumman-10 render 005.wav,slow vibrato,note,4.6356992164
B4,Neumman-10 render 006.wav,slow vibrato,note,4.60246776139
C5,Neumman-10 render 007.wav,slow vibrato,note,4.62108220528
C#5,Neumman-10 render 008.wav,slow vibrato,note,4.60066480999
D5,Neumman-10 render 009.wav,slow vibrato,note,4.60046287299
D#5,Neumman-11 render 001.wav,slow vibrato,note,4.5885869139
E5,Neumman-11 render 002.wav,slow vibrato,note,4.58600800473
F5,Neumman-11 render 003.wav,slow vibrato,note,4.57404714397
F#5,Neumman-11 render 004.wav,slow vibrato,note,4.52729361235
G5,Neumman-11 render 005.wav,slow vibrato,note,4.51835350772
G#5,Neumman-11 render 006.wav,slow vibrato,note,4.50012495868
A5,Neumman-11 render 007.wav,slow vibrato,note,4.52589287132
A#5,Neumman-11 render 008.wav,slow vibrato,note,4.50986067542
B5,Neumman-11 render 009.wav,slow vibrato,note,4.54983612878
G3,Neumman-13 render 001.wav,fast vibrato,note,4.53978681021
G#3,Neumman-13 render 002.wav,fast vibrato,note,4.56426868223
A3,Neumman-13 render 003.wav,fast vibrato,note,4.62666834085
A#3,Neumman-13 render 004.wav,fast vibrato,note,4.69651334933
B3,Neumman-13 render 005.wav,fast vibrato,note,4.78007617594
C4,Neumman-13 render 006.wav,fast vibrato,note,4.90024203107
C#4,Neumman-13 render 007.wav,fast vibrato,note,4.92980440509
D4,Neumman-13 render 008.wav,fast vibrato,note,4.99865013602
D#4,Neumman-13 render 009.wav,fast vibrato,note,5.06355147875
E4,Neumman-13 render 010.wav,fast vibrato,note,5.1116648899
F4,Neumman-13 render 011.wav,fast vibrato,note,5.18126360485
F#4,Neumman-13 render 012.wav,fast vibrato,note,5.24952168367
G4,Neumman-13 render 013.wav,fast vibrato,note,5.30530464773
G#4,Neumman-13 render 014.wav,fast vibrato,note,5.31272325778
A4,Neumman-13 render 015.wav,fast vibrato,note,5.34479440631
A#4,Neumman-13 render 016.wav,fast vibrato,note,5.38178677353
B4,Neumman-13 render 017.wav,fast vibrato,note,5.40632160457
C5,Neumman-13 render 018.wav,fast vibrato,note,5.48919791408
C#5,Neumman-13 render 019.wav,fast vibrato,note,5.54708911475
D5,Neumman-13 render 020.wav,fast vibrato,note,5.60546020324
D#5,Neumman-13 render 021.wav,fast vibrato,note,5.617585485
E5,Neumman-13 render 022.wav,fast vibrato,note,5.64315797626
F5,Neumman-13 render 023.wav,fast vibrato,note,5.68193879356
F#5,Neumman-13 render 024.wav,fast vibrato,note,5.70927684441
G5,Neumman-14 render 001.wav,fast vibrato,note,5.75055666406
G#5,Neumman-14 render 002.wav,fast vibrato,note,5.78731696134
A5,Neumman-14 render 003.wav,fast vibrato,note,5.84467937726
A#5,Neumman-14 render 004.wav,fast vibrato,note,5.88331371478
B5,Neumman-14 render 005.wav,fast vibrato,note,5.89676202592
